,Name,Episodes,Release,Members,Score
1131,Mai-HiME,26,Oct 2004 - Apr 2005,115109,7.41
1132,Mieruko-chan,12,Oct 2021 - Dec 2021,483158,7.41
1133,Mitsuboshi Colors,12,Jan 2018 - Mar 2018,99351,7.41
1134,Rozen Maiden,12,Oct 2004 - Dec 2004,203684,7.41
1135,Sakigake!! Otokojuku,34,Feb 1988 - Nov 1988,14147,7.41
1136,Salaryman Kintarou,20,Feb 2001 - Mar 2001,10198,7.41
1137,Sasuke,29,Sep 1968 - Mar 1969,2172,7.41
1138,Senyuu. 2,13,Jul 2013 - Sep 2013,56852,7.41
1139,Shinreigari,22,Oct 2007 - Apr 2008,150709,7.41
1140,Shinryaku! Ika Musume,12,Oct 2010 - Dec 2010,198636,7.41
1141,Ano Natsu de Matteru,12,Jan 2012 - Mar 2012,383391,7.41
1142,Bokutachi no Remake,12,Jul 2021 - Sep 2021,334795,7.41
1143,Captain Tsubasa (2018),52,Apr 2018 - Apr 2019,74174,7.41
1144,D4DJ All Mix,12,Jan 2023 - Mar 2023,12742,7.41
1145,Gangsta.,12,Jul 2015 - Sep 2015,574488,7.41
1146,Grimm Meisaku Gekijou,24,Oct 1987 - Mar 1988,4948,7.41
1147,Guilty Crown,22,Oct 2011 - Mar 2012,1204476,7.41
1148,Heisei Inu Monogatari Bow,40,Oct 1993 - Sep 1994,1393,7.41
1149,Itazura na Kiss,25,Apr 2008 - Sep 2008,280772,7.41
1150,Jashin-chan Dropkick X,12,Jul 2022 - Sep 2022,38399,7.41
1151,Suki tte Ii na yo.,13,Oct 2012 - Dec 2012,647918,7.41
1152,Urusei Yatsura (2022),23,Oct 2022 - Mar 2023,167320,7.41
1153,WWW.Working!!,13,Oct 2016 - Dec 2016,156438,7.41
1154,Shugo Chara!,51,Oct 2007 - Sep 2008,217887,7.4
1155,Tamako Market,12,Jan 2013 - Mar 2013,421091,7.4
1156,Yuusha Keisatsu J-Decker,48,Feb 1994 - Jan 1995,3930,7.4
1157,Zero no Tsukaima: Futatsuki no Kishi,12,Jul 2007 - Sep 2007,499915,7.4
1158,Mahouka Koukou no Rettousei,26,Apr 2014 - Sep 2014,1049782,7.4
1159,Mirai Nikki (TV),26,Oct 2011 - Apr 2012,1992277,7.4
1160,Pokemon XY,93,Oct 2013 - Oct 2015,169642,7.4
1161,Psycho-Pass 2,11,Oct 2014 - Dec 2014,649261,7.4
1162,Captain Tsubasa Season 2: Junior Youth-hen,39,Oct 2023 -,10951,7.4
1163,Chobits,26,Apr 2002 - Sep 2002,479383,7.4
1164,Cosmic Baton Girl Comet-san☆,43,Apr 2001 - Jan 2002,4680,7.4
1165,Fushigiboshi no☆Futagohime,51,Apr 2005 - Mar 2006,12177,7.4
1166,Gallery Fake,37,Jan 2005 - Sep 2005,15025,7.4
1167,Gokusen,13,Jan 2004 - Mar 2004,45897,7.4
1168,Isekai Shokudou,12,Jul 2017 - Sep 2017,249812,7.4
1169,Ajin,13,Jan 2016 - Apr 2016,583308,7.39
1170,Aldnoah.Zero,12,Jul 2014 - Sep 2014,510167,7.39
1171,Amagami SS+ Plus,13,Jan 2012 - Mar 2012,168094,7.39
1172,Anmitsu Hime,51,Oct 1986 - Sep 1987,1595,7.39
1173,Ao no Exorcist: Shimane Illuminati-hen,12,Jan 2024 -,93860,7.39
1174,Cross Ange: Tenshi to Ryuu no Rondo,25,Oct 2014 - Mar 2015,204411,7.39
1175,Gunslinger Girl,13,Oct 2003 - Feb 2004,188942,7.39
1176,Hakkenden: Touhou Hakken Ibun,13,Jan 2013 - Mar 2013,114118,7.39
1177,Sketchbook: Full Color's,13,Oct 2007 - Dec 2007,30414,7.39
1178,Taiho Shichau zo: Second Season,26,Apr 2001 - Sep 2001,11104,7.39
1179,Tensai Ouji no Akaji Kokka Saisei Jutsu,12,Jan 2022 - Mar 2022,269665,7.39
1180,Vandread: The Second Stage,13,Oct 2001 - Jan 2002,53914,7.39
1181,Whistle!,39,May 2002 - Feb 2003,14579,7.39
1182,X,24,Oct 2001 - Mar 2002,82343,7.39
1183,Yuuki Yuuna wa Yuusha de Aru: Dai Mankai no Shou,12,Oct 2021 - Dec 2021,23839,7.39
1184,Yuusha-Ou GaoGaiGar Final Grand Glorious Gathering,12,Apr 2005 - Jun 2005,4016,7.39
1185,Legendz: Yomigaeru Ryuuou Densetsu,50,Apr 2004 - Mar 2005,3229,7.39
1186,Love Live! Sunshine!!,13,Jul 2016 - Sep 2016,181602,7.39
1187,Medaka Box Abnormal,12,Oct 2012 - Dec 2012,142258,7.39
1188,Nanatsu no Umi no Tico,39,Jan 1994 - Dec 1994,6026,7.39
1189,RahXephon,26,Jan 2002 - Sep 2002,118659,7.39
1190,Sakura Quest,25,Apr 2017 - Sep 2017,148058,7.39
1191,Kemono Jihen,12,Jan 2021 - Mar 2021,368111,7.38
1192,Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note,13,Jul 2019 - Sep 2019,150904,7.38
1193,Major 2nd,25,Apr 2018 - Sep 2018,33615,7.38
1194,NG Knight Ramune & 40,38,Apr 1990 - Jan 1991,3971,7.38
1195,Plawres Sanshirou,37,Jun 1983 - Feb 1984,3935,7.38
1196,Pokemon,276,Apr 1997 - Nov 2002,624080,7.38
1197,Saber Marionette J,25,Oct 1996 - Mar 1997,32902,7.38
1198,Scrapped Princess,24,Apr 2003 - Oct 2003,95344,7.38
1199,Ai no Wakakusa Monogatari,48,Jan 1987 - Dec 1987,9145,7.38
1200,Alps no Shoujo Heidi,52,Jan 1974 - Dec 1974,37141,7.38
1201,Ayakashi: Japanese Classic Horror,11,Jan 2006 - Mar 2006,75871,7.38
1202,Boku no Hero Academia 5th Season,25,Mar 2021 - Sep 2021,1156459,7.38
1203,Inu x Boku SS,12,Jan 2012 - Mar 2012,500398,7.38
1204,Isekai Quartet,12,Apr 2019 - Jun 2019,381453,7.38
1205,Juuni Senshi Bakuretsu Eto Ranger,39,Apr 1995 - Jan 1996,2374,7.38
1206,Slayers Evolution-R,13,Jan 2009 - Apr 2009,32432,7.38
1207,Sunabouzu,24,Oct 2004 - Mar 2005,138489,7.38
1208,Super GALS! Kotobuki Ran,52,Apr 2001 - Mar 2002,22053,7.38
1209,Waga Seishun no Arcadia: Mugen Kidou SSX,22,Oct 1982 - Mar 1983,7318,7.38
1210,Yowamushi Pedal: Limit Break,25,Oct 2022 - Mar 2023,24636,7.38
1211,Yuuki Yuuna wa Yuusha de Aru,12,Oct 2014 - Dec 2014,153357,7.38
1212,Soukyuu no Fafner: Dead Aggressor - Exodus,13,Jan 2015 - Apr 2015,22280,7.37
1213,Watashi no Oshi wa Akuyaku Reijou.,12,Oct 2023 - Dec 2023,87457,7.37
1214,Kamichu!,12,Jun 2005 - Sep 2005,62757,7.37
1215,Kiznaiver,12,Apr 2016 - Jun 2016,735235,7.37
1216,Mahou no Yousei Persia,48,Jul 1984 - May 1985,3549,7.37
1217,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",13,Jul 2020 - Sep 2020,780737,7.37
1218,Meitantei Holmes,26,Nov 1984 - May 1985,12311,7.37
1219,Mikakunin de Shinkoukei,12,Jan 2014 - Mar 2014,391735,7.37
1220,Oda Nobuna no Yabou,12,Jul 2012 - Sep 2012,294280,7.37
1221,Oruchuban Ebichu,24,Aug 1999 - Oct 1999,52555,7.37
1222,Osomatsu-san 3rd Season,25,Oct 2020 - Mar 2021,22496,7.37
1223,Saiyuuki Reload,25,Oct 2003 - Mar 2004,35194,7.37
1224,Saiyuuki Reload Gunlock,26,Apr 2004 - Sep 2004,23610,7.37
1225,Senryuu Shoujo,12,Apr 2019 - Jun 2019,184822,7.37
1226,Shigurui,12,Jul 2007 - Oct 2007,122718,7.37
1227,Shiro Seijo to Kuro Bokushi,12,Jul 2023 - Sep 2023,69038,7.37
1228,Comic Girls,12,Apr 2018 - Jun 2018,142253,7.37
1229,Dakaretai Otoko 1-i ni Odosarete Imasu.,13,Oct 2018 - Dec 2018,156094,7.37
1230,Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,11,Jul 2016 - Sep 2016,320041,7.37
1231,Doraemon,26,Apr 1973 - Sep 1973,20572,7.37
1232,Flanders no Inu,52,Jan 1975 - Dec 1975,7761,7.37
1233,Futatsu no Spica,20,Nov 2003 - Mar 2004,10631,7.37
1234,Hakata Tonkotsu Ramens,12,Jan 2018 - Mar 2018,154458,7.37
1235,Honoo no Toukyuuji: Dodge Danpei,47,Oct 1991 - Sep 1992,5304,7.37
1236,Afro Samurai,5,May 2007 - May 2007,371682,7.36
1237,Deca-Dence,12,Jul 2020 - Sep 2020,297785,7.36
1238,Dotto Koni-chan,26,Nov 2000 - May 2001,4719,7.36
1239,Hakuouki,12,Apr 2010 - Jun 2010,167743,7.36
1240,Hataraku Saibou!!,8,Jan 2021 - Feb 2021,268050,7.36
1241,Isekai Quartet 2,12,Jan 2020 - Apr 2020,232184,7.36
1242,Uchuu no Stellvia,26,Apr 2003 - Sep 2003,24791,7.36
1243,Zoids,67,Sep 1999 - Dec 2000,49787,7.36
1244,Karakuri Zoushi Ayatsuri Sakon,26,Oct 1999 - Mar 2000,12060,7.36
1245,Ryman's Club,12,Jan 2022 - Apr 2022,74910,7.36
1246,s.CRY.ed,26,Jul 2001 - Dec 2001,82558,7.36
1247,Kemonozume,13,Aug 2006 - Nov 2006,74519,7.35
1248,Kyokou Suiri Season 2,12,Jan 2023 - Mar 2023,150875,7.35
1249,Mahou no Princess Minky Momo: Yume wo Dakishimete,62,Oct 1991 - Dec 1992,3693,7.35
1250,Miracle☆Girls,51,Jan 1993 - Dec 1993,5427,7.35
1251,Nami yo Kiitekure,12,Apr 2020 - Jun 2020,84442,7.35
1252,Nisekoi:,12,Apr 2015 - Jun 2015,689510,7.35
1253,Nurse Angel Ririka SOS,35,Jul 1995 - Mar 1996,4844,7.35
1254,Re:␣Hamatora,12,Jul 2014 - Sep 2014,168475,7.35
1255,Rikei ga Koi ni Ochita no de Shoumei shitemita.,12,Jan 2020 - Mar 2020,343447,7.35
1256,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",12,Oct 2021 - Dec 2021,517789,7.35
1257,Selector Spread WIXOSS,12,Oct 2014 - Dec 2014,78170,7.35
1258,AKB0048,13,Apr 2012 - Jul 2012,61583,7.35
1259,Ao no Exorcist: Kyoto Fujouou-hen,12,Jan 2017 - Mar 2017,753098,7.35
1260,Aoki Hagane no Arpeggio: Ars Nova,12,Oct 2013 - Dec 2013,149685,7.35
1261,Atashin'chi,330,Apr 2002 - Sep 2009,5355,7.35
1262,BNA,12,Apr 2020 - Jun 2020,361571,7.35
1263,Captain Tsubasa,128,Oct 1983 - Mar 1986,85680,7.35
1264,Chiisana Ahiru no Ooki na Ai no Monogatari: Ahiru no Kwak,52,Apr 1989 - Mar 1990,6044,7.35
1265,Garo: Honoo no Kokuin,24,Oct 2014 - Mar 2015,143805,7.35
1266,Glass no Kamen,23,Apr 1984 - Sep 1984,9218,7.35
1267,Handa-kun,12,Jul 2016 - Sep 2016,294137,7.35
1268,High School! Kimengumi,86,Oct 1985 - Oct 1987,4135,7.35
1269,The iDOLM@STER Cinderella Girls 2nd Season,12,Jul 2015 - Oct 2015,36470,7.35
1270,Toaru Majutsu no Index,24,Oct 2008 - Mar 2009,807241,7.35
1271,World Dai Star,12,Apr 2023 - Jun 2023,12903,7.35
1272,Yomigaeru Sora: Rescue Wings,12,Jan 2006 - Mar 2006,14703,7.35
1273,Yuyushiki,12,Apr 2013 - Jun 2013,107690,7.35
1274,Suite Precure♪,48,Feb 2011 - Jan 2012,15989,7.34
1275,Un-Go,11,Oct 2011 - Dec 2011,151156,7.34
1276,Yokoyama Mitsuteru Sangokushi,47,Oct 1991 - Sep 1992,6276,7.34
1277,Kaginado Season 2,12,Apr 2022 - Jun 2022,13001,7.34
1278,Kaze no Shoujo Emily,26,Apr 2007 - Sep 2007,7621,7.34
1279,Kidou Shinseiki Gundam X,39,Apr 1996 - Dec 1996,35950,7.34
1280,Kore wa Zombie desu ka?,12,Jan 2011 - Mar 2011,621956,7.34
1281,Mahou no Tenshi Creamy Mami,52,Jul 1983 - Jun 1984,14801,7.34
1282,Mononogatari 2nd Season,12,Jul 2023 - Sep 2023,31692,7.34
1283,Ojamajo Doremi,51,Feb 1999 - Jan 2000,54999,7.34
1284,Otome Game Sekai wa Mob ni Kibishii Sekai desu,12,Apr 2022 - Jun 2022,290927,7.34
1285,Rekka no Honoo,42,Jul 1997 - Jul 1998,66672,7.34
1286,Sabage-bu!,12,Jul 2014 - Sep 2014,155165,7.34
1287,Sakurada Reset,24,Apr 2017 - Sep 2017,144666,7.34
1288,Bokutachi wa Benkyou ga Dekinai!,13,Oct 2019 - Dec 2019,295555,7.34
1289,Gamba no Bouken,26,Apr 1975 - Sep 1975,4411,7.34
1290,Heya Camp△,12,Jan 2020 - Mar 2020,96059,7.34
1291,Idol Time PriPara,51,Apr 2017 - Mar 2018,6851,7.34
1292,Jibaku-kun,26,Oct 1999 - Mar 2000,13391,7.34
1293,Allison to Lillia,26,Apr 2008 - Oct 2008,42615,7.33
1294,Bartender,11,Oct 2006 - Dec 2006,91155,7.33
1295,Free!,12,Jul 2013 - Sep 2013,793068,7.33
1296,Ginga Kikoutai Majestic Prince,24,Apr 2013 - Sep 2013,55225,7.33
1297,Healer Girl,12,Apr 2022 - Jun 2022,31828,7.33
1298,High School DxD,12,Jan 2012 - Mar 2012,1411096,7.33
1299,Honobono Log,10,Jun 2016 - Jun 2016,78370,7.33
1300,Strike Witches: Road to Berlin,12,Oct 2020 - Dec 2020,26878,7.33
1301,Tamayura: Hitotose,12,Oct 2011 - Dec 2011,47359,7.33
1302,Tetsujin 28-gou (2004),26,Apr 2004 - Sep 2004,5563,7.33
1303,Kaitou Joker 4th Season,13,Oct 2016 - Dec 2016,4459,7.33
1304,Kure-nai,12,Apr 2008 - Jun 2008,89675,7.33
1305,Mahou no Angel Sweet Mint,47,May 1990 - Mar 1991,3457,7.33
1306,Minami-ke Okawari,13,Jan 2008 - Mar 2008,72268,7.33
1307,Nanbaka,13,Oct 2016 - Dec 2016,330419,7.33
1308,Rozen Maiden (2013),13,Jul 2013 - Sep 2013,78305,7.33
1309,Sengoku Basara,12,Apr 2009 - Jun 2009,160658,7.33
1310,Shippuu! Iron Leaguer,52,Apr 1993 - Mar 1994,1635,7.33
1311,Kaikan Phrase,44,Apr 1999 - Mar 2000,13648,7.32
1312,Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone,50,Jan 1981 - Dec 1981,6814,7.32
1313,Kinnikuman,137,Apr 1983 - Oct 1986,12422,7.32
1314,Koori Zokusei Danshi to Cool na Douryou Joshi,12,Jan 2023 - Mar 2023,193032,7.32
1315,Megami no Café Terrace,12,Apr 2023 - Jun 2023,104107,7.32
1316,Saki Achiga-hen: Episode of Side-A,12,Apr 2012 - Jul 2012,36930,7.32
1317,Sewayaki Kitsune no Senko-san,12,Apr 2019 - Jun 2019,348714,7.32
1318,Aa! Megami-sama! (TV),24,Jan 2005 - Jul 2005,158708,7.32
1319,Araburu Kisetsu no Otome-domo yo.,12,Jul 2019 - Sep 2019,334642,7.32
1320,Black Cat (TV),23,Oct 2005 - Mar 2006,268933,7.32
1321,Cinderella Monogatari,26,Apr 1996 - Oct 1996,8153,7.32
1322,Fuuto Tantei,12,Aug 2022 - Oct 2022,65699,7.32
1323,Gakuen Utopia Manabi Straight!,12,Jan 2007 - Mar 2007,31118,7.32
1324,Hanayamata,12,Jul 2014 - Sep 2014,110395,7.32
1325,Himouto! Umaru-chan R,12,Oct 2017 - Dec 2017,254410,7.32
1326,Shokugeki no Souma: Gou no Sara,13,Apr 2020 - Sep 2020,523229,7.32
1327,Shoukoushi Cedie,43,Jan 1988 - Dec 1988,4537,7.32
1328,Tiger Mask,105,Oct 1969 - Sep 1971,10508,7.32
1329,Tiger Mask Nisei,33,Apr 1981 - Jan 1982,6418,7.32
1330,Zero no Tsukaima: Princesses no Rondo,12,Jul 2008 - Sep 2008,443004,7.32
1331,The Third: Aoi Hitomi no Shoujo,24,Apr 2006 - Oct 2006,21721,7.31
1332,Tsuki to Laika to Nosferatu,12,Oct 2021 - Dec 2021,147588,7.31
1333,Uma Musume: Pretty Derby,13,Apr 2018 - Jun 2018,138376,7.31
1334,Wagamama☆Fairy Mirumo de Pon!,172,Apr 2002 - Sep 2005,19662,7.31
1335,Zoids Shinseiki/Zero,26,Jan 2001 - Jun 2001,28812,7.31
1336,Love Lab,13,Jul 2013 - Sep 2013,200991,7.31
1337,Mahoutsukai Precure!,50,Feb 2016 - Jan 2017,13701,7.31
1338,Onegai My Melody,52,Apr 2005 - Mar 2006,16371,7.31
1339,Onegai My Melody: Kurukuru Shuffle!,52,Apr 2006 - Mar 2007,5735,7.31
1340,Ore wo Suki nano wa Omae dake ka yo,12,Oct 2019 - Dec 2019,451321,7.31
1341,Piano no Mori (TV),12,Apr 2018 - Jul 2018,125965,7.31
1342,Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart,12,Apr 2022 - Jun 2022,145822,7.31
1343,Ristorante Paradiso,11,Apr 2009 - Jun 2009,46666,7.31
1344,Robotics;Notes,22,Oct 2012 - Mar 2013,178083,7.31
1345,Seitokai no Ichizon,12,Oct 2009 - Dec 2009,193492,7.31
1346,Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me,13,Apr 2015 - Jun 2015,197484,7.31
1347,Dead Mount Death Play,12,Apr 2023 - Jun 2023,208849,7.31
1348,High School Fleet,12,Apr 2016 - Jun 2016,104982,7.31
1349,Aharen-san wa Hakarenai,12,Apr 2022 - Jun 2022,324080,7.3
1350,Bamboo Blade,26,Oct 2007 - Apr 2008,88220,7.3
1351,Busou Renkin,26,Oct 2006 - Mar 2007,171662,7.3
1352,Chibi Maruko-chan (1995),,Jan 1995 -,5810,7.3
1353,Dosanko Gal wa Namara Menkoi,12,Jan 2024 -,88249,7.3
1354,Fushigiboshi no☆Futagohime Gyu!,52,Apr 2006 - Mar 2007,6195,7.3
1355,Galaxy Angel 3,26,Oct 2002 - Mar 2003,9767,7.3
1356,Ginban Kaleidoscope,12,Oct 2005 - Dec 2005,49411,7.3
1357,Hisone to Maso-tan,12,Apr 2018 - Jun 2018,82736,7.3
1358,Isekai de Mofumofu Nadenade suru Tame ni Ganbattemasu.,12,Jan 2024 -,42646,7.3
1359,Isekai Yakkyoku,12,Jul 2022 - Sep 2022,202346,7.3
1360,Sousei no Onmyouji,50,Apr 2016 - Mar 2017,508836,7.3
1361,Speed Grapher,24,Apr 2005 - Sep 2005,113227,7.3
1362,Tales of Zestiria the Cross 2nd Season,13,Jan 2017 - Apr 2017,159795,7.3
1363,Onihei,13,Jan 2017 - Apr 2017,40204,7.3
1364,Peace Maker Kurogane,24,Oct 2003 - Mar 2004,57775,7.3
1365,Seijo no Maryoku wa Bannou desu,12,Apr 2021 - Jun 2021,194594,7.3
1366,Shinrei Tantei Yakumo,13,Oct 2010 - Dec 2010,132783,7.3
1367,Kamisama no Inai Nichiyoubi,12,Jul 2013 - Sep 2013,220294,7.29
1368,Lupin III: Part III,50,Mar 1984 - Dec 1985,22156,7.29
1369,Madou King Granzort,41,Apr 1989 - Mar 1990,2699,7.29
1370,Mahoraba: Heartful Days,26,Jan 2005 - Jun 2005,25986,7.29
1371,Maria-sama ga Miteru,13,Jan 2004 - Apr 2004,69476,7.29
1372,Miracle Giants Doumu-kun,49,Apr 1989 - Mar 1990,1759,7.29
1373,Mushibugyou,26,Apr 2013 - Sep 2013,90625,7.29
1374,Noir,26,Apr 2001 - Sep 2001,112906,7.29
1375,Shin Grimm Meisaku Gekijou,23,Oct 1988 - Mar 1989,2717,7.29
1376,Amagami SS,25,Jul 2010 - Dec 2010,377833,7.29
1377,Animal Yokochou,51,Oct 2005 - Sep 2006,3197,7.29
1378,Edens Zero,25,Apr 2021 - Oct 2021,248428,7.29
1379,Gaikotsu Shotenin Honda-san,12,Oct 2018 - Dec 2018,116794,7.29
1380,GJ-bu,12,Jan 2013 - Mar 2013,173996,7.29
1381,Hitorijime My Hero,12,Jul 2017 - Sep 2017,167044,7.29
1382,Idaten Jump,52,Oct 2005 - Sep 2006,19003,7.29
1383,Strike Witches 2,12,Jul 2010 - Sep 2010,83381,7.29
1384,Tari Tari,13,Jul 2012 - Sep 2012,160606,7.29
1385,Trinity Blood,24,Apr 2005 - Oct 2005,183437,7.29
1386,Zegapain,26,Apr 2006 - Sep 2006,34226,7.29
1387,Zettai Karen Children,51,Apr 2008 - Mar 2009,46429,7.29
1388,Zoku Touken Ranbu: Hanamaru,12,Jan 2018 - Mar 2018,29473,7.29
1389,Shounen Maid,12,Apr 2016 - Jul 2016,84250,7.28
1390,Solty Rei,24,Oct 2005 - Mar 2006,30101,7.28
1391,Starmyu 2nd Season,12,Apr 2017 - Jun 2017,16909,7.28
1392,Tom Sawyer no Bouken,49,Jan 1980 - Dec 1980,9124,7.28
1393,True Tears,13,Jan 2008 - Mar 2008,215707,7.28
1394,Watashi ni Tenshi ga Maiorita!,12,Jan 2019 - Mar 2019,200487,7.28
1395,Kannagi,13,Oct 2008 - Dec 2008,168567,7.28
1396,Kiba,51,Apr 2006 - Mar 2007,78175,7.28
1397,Kurau Phantom Memory,24,Jun 2004 - Dec 2004,31183,7.28
1398,Macross Δ,26,Apr 2016 - Sep 2016,77011,7.28
1399,Mahouka Koukou no Rettousei: Raihousha-hen,13,Oct 2020 - Dec 2020,345786,7.28
1400,Mai-Otome,26,Oct 2005 - Mar 2006,51167,7.28
1401,Mazinger Z,92,Dec 1972 - Sep 1974,17719,7.28
1402,Ousama Ranking: Yuuki no Takarabako,10,Apr 2023 - Jun 2023,130553,7.28
1403,Pokemon Diamond & Pearl,191,Sep 2006 - Sep 2010,145945,7.28
1404,Poputepipikku,12,Jan 2018 - Mar 2018,221673,7.28
1405,Potemayo,12,Jul 2007 - Sep 2007,16895,7.28
1406,Rec,9,Feb 2006 - Mar 2006,112725,7.28
1407,Saber Marionette J to X,26,Oct 1998 - Mar 1999,14767,7.28
1408,Sankarea,12,Apr 2012 - Jun 2012,610465,7.28
1409,Senyuu.,13,Jan 2013 - Apr 2013,115774,7.28
1410,Shin Chou Kyou Ryo: Condor Hero,26,Apr 2001 - Oct 2002,9145,7.28
1411,Air,12,Jan 2005 - Mar 2005,296777,7.28
1412,Boku wa Tomodachi ga Sukunai Next,12,Jan 2013 - Mar 2013,528701,7.28
1413,Bokutachi wa Benkyou ga Dekinai,13,Apr 2019 - Jun 2019,433803,7.28
1414,Btooom!,12,Oct 2012 - Dec 2012,851172,7.28
1415,Captain Tsubasa J,47,Oct 1994 - Dec 1995,29688,7.28
1416,Danna ga Nani wo Itteiru ka Wakaranai Ken,13,Oct 2014 - Dec 2014,349423,7.28
1417,Edomae Elf,12,Apr 2023 - Jun 2023,57315,7.28
1418,Fate/stay night,24,Jan 2006 - Jun 2006,934862,7.28
1419,Gatchaman Crowds,12,Jul 2013 - Sep 2013,183045,7.28
1420,Genki Bakuhatsu Ganbaruger,47,Apr 1992 - Feb 1993,1501,7.28
1421,Helck,24,Jul 2023 - Dec 2023,84331,7.28
1422,Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto,12,Apr 2022 - Jun 2022,65936,7.28
1423,Hige wo Soru. Soshite Joshikousei wo Hirou.,13,Apr 2021 - Jun 2021,598722,7.28
1424,A3! Season Autumn & Winter,12,Oct 2020 - Dec 2020,22320,7.27
1425,Ahiru no Sora,50,Oct 2019 - Sep 2020,196594,7.27
1426,Dragon League,39,May 1993 - Feb 1994,2082,7.27
1427,Hatsukoi Limited.,12,Apr 2009 - Jun 2009,100895,7.27
1428,"Ijiranaide, Nagatoro-san",12,Apr 2021 - Jun 2021,785891,7.27
1429,Imouto sae Ireba Ii.,12,Oct 2017 - Dec 2017,336142,7.27
1430,Strawberry Panic,26,Apr 2006 - Sep 2006,142274,7.27
1431,Tales of the Abyss,26,Oct 2008 - Mar 2009,122473,7.27
1432,"Tearmoon Teikoku Monogatari: Dantoudai kara Hajimaru, Hime no Tensei Gyakuten Story",12,Oct 2023 - Dec 2023,58631,7.27
1433,Top Secret: The Revelation,26,Apr 2008 - Oct 2008,19483,7.27
1434,YAT Anshin! Uchuu Ryokou,50,Oct 1996 - Sep 1997,2430,7.27
1435,YAT Anshin! Uchuu Ryokou 2,25,Apr 1998 - Oct 1998,1356,7.27
1436,KimiKiss Pure Rouge,24,Oct 2007 - Mar 2008,89927,7.27
1437,Koukaku no Regios,24,Jan 2009 - Jun 2009,211467,7.27
1438,Koutetsujou no Kabaneri,12,Apr 2016 - Jul 2016,805046,7.27
1439,Kuma Kuma Kuma Bear Punch!,12,Apr 2023 - Jun 2023,73541,7.27
1440,Legend of Basara,13,Apr 1998 - Jun 1998,12982,7.27
1441,Majo to Yajuu,12,Jan 2024 -,80906,7.27
1442,Motto To LOVE-Ru,12,Oct 2010 - Dec 2010,331640,7.27
1443,Natsu no Arashi! Akinaichuu,13,Oct 2009 - Dec 2009,20887,7.27
1444,Nerima Daikon Brothers,12,Jan 2006 - Mar 2006,9037,7.27
1445,Nijiiro Days,24,Jan 2016 - Jun 2016,231156,7.27
1446,Rokka no Yuusha,12,Jul 2015 - Sep 2015,628539,7.27
1447,Sekirei: Pure Engagement,13,Jul 2010 - Sep 2010,240616,7.27
1448,Kidou Tenshi Angelic Layer,26,Apr 2001 - Sep 2001,58469,7.26
1449,Kyouran Kazoku Nikki,26,Apr 2008 - Oct 2008,28581,7.26
1450,Kyuuketsuki Sugu Shinu,12,Oct 2021 - Dec 2021,88685,7.26
1451,Mononogatari,12,Jan 2023 - Mar 2023,61924,7.26
1452,Moonlight Mile 2nd Season: Touch Down,14,Sep 2007 - Dec 2007,5108,7.26
1453,Natsuyuki Rendezvous,11,Jul 2012 - Sep 2012,82808,7.26
1454,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X,12,Jul 2021 - Sep 2021,230885,7.26
1455,Patalliro!,49,Apr 1982 - May 1983,8321,7.26
1456,Phi Brain: Kami no Puzzle - Orpheus Order-hen,25,Apr 2012 - Sep 2012,48330,7.26
1457,RideBack,12,Jan 2009 - Mar 2009,47777,7.26
1458,Selection Project,13,Oct 2021 - Dec 2021,43609,7.26
1459,Shikabane Hime: Kuro,12,Jan 2009 - Mar 2009,76453,7.26
1460,Shin Atashin'chi,26,Oct 2015 - Apr 2016,3871,7.26
1461,Blend S,12,Oct 2017 - Dec 2017,653669,7.26
1462,Cyborg 009: The Cyborg Soldier,50,Oct 2001 - Aug 2003,33820,7.26
1463,GS Mikami,45,Apr 1993 - Mar 1994,13930,7.26
1464,Gun x Sword,26,Jul 2005 - Dec 2005,77682,7.26
1465,Hanamaru Youchien,12,Jan 2010 - Mar 2010,93441,7.26
1466,High Card Season 2,12,Jan 2024 -,26873,7.26
1467,Soukyuu no Fafner: Dead Aggressor,25,Jul 2004 - Dec 2004,48230,7.26
1468,Utawarerumono: Itsuwari no Kamen,25,Oct 2015 - Mar 2016,111167,7.26
1469,Slow Loop,12,Jan 2022 - Mar 2022,61699,7.25
1470,Sora no Otoshimono,13,Oct 2009 - Dec 2009,475882,7.25
1471,Uzaki-chan wa Asobitai! Double,13,Oct 2022 - Dec 2022,210637,7.25
1472,Kaitou Joker 2nd Season,13,Apr 2015 - Jun 2015,6490,7.25
1473,Kakumeiki Valvrave 2nd Season,12,Oct 2013 - Dec 2013,93163,7.25
1474,Matantei Loki Ragnarok,26,Apr 2003 - Sep 2003,38713,7.25
1475,MÄR,102,Apr 2005 - Mar 2007,52293,7.25
