,Name,Episodes,Release,Members,Score
77,Haikyuu!! To the Top Part 2,12,Oct 2020 - Dec 2020,796121,8.55
78,Nana,47,Apr 2006 - Mar 2007,652223,8.55
79,Shingeki no Kyojin,25,Apr 2013 - Sep 2013,3884680,8.54
80,Zoku Natsume Yuujinchou,13,Jan 2009 - Mar 2009,245784,8.54
81,Steins;Gate 0,23,Apr 2018 - Sep 2018,859065,8.53
82,Yuru Camp△ Season 2,13,Jan 2021 - Apr 2021,217309,8.53
83,Bakuman. 3rd Season,25,Oct 2012 - Mar 2013,327510,8.53
84,Chainsaw Man,12,Oct 2022 - Dec 2022,1445715,8.53
85,Gintama.: Porori-hen,13,Oct 2017 - Dec 2017,198771,8.52
86,Sora yori mo Tooi Basho,13,Jan 2018 - Mar 2018,496423,8.52
87,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,26,Jan 2004 - Jan 2005,225402,8.52
88,Ousama Ranking,23,Oct 2021 - Mar 2022,623748,8.52
89,Samurai Champloo,26,May 2004 - Mar 2005,1223928,8.51
90,Shingeki no Kyojin Season 2,12,Apr 2017 - Jun 2017,2674985,8.51
91,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,39,Apr 2016 - Dec 2016,1103678,8.5
92,One Punch Man,12,Oct 2015 - Dec 2015,3168100,8.5
93,Yakusoku no Neverland,12,Jan 2019 - Mar 2019,1937191,8.5
94,Summertime Render,25,Apr 2022 - Sep 2022,502133,8.49
95,Uchuu Kyoudai,99,Apr 2012 - Mar 2014,192220,8.49
96,Ansatsu Kyoushitsu 2nd Season,25,Jan 2016 - Jul 2016,1411669,8.49
97,Mob Psycho 100,12,Jul 2016 - Sep 2016,2036798,8.49
98,Kimetsu no Yaiba,26,Apr 2019 - Sep 2019,2961609,8.48
99,Aria the Origination,13,Jan 2008 - Apr 2008,127520,8.48
100,Banana Fish,24,Jul 2018 - Dec 2018,848012,8.47
101,Rainbow: Nisha Rokubou no Shichinin,26,Apr 2010 - Sep 2010,391793,8.47
102,Nichijou,26,Apr 2011 - Sep 2011,883389,8.46
103,Yuu☆Yuu☆Hakusho,112,Oct 1992 - Jan 1995,679347,8.46
104,Chihayafuru 3,24,Oct 2019 - Mar 2020,138671,8.46
105,Bungou Stray Dogs 4th Season,13,Jan 2023 - Mar 2023,272458,8.45
106,Golden Kamuy 3rd Season,12,Oct 2020 - Dec 2020,164922,8.45
107,Ore dake Level Up na Ken,12,Jan 2024 -,391493,8.45
108,Owarimonogatari,12,Oct 2015 - Dec 2015,473075,8.45
109,Zoku Owarimonogatari,6,May 2019 - Jun 2019,222619,8.44
110,Haikyuu!!,25,Apr 2014 - Sep 2014,1937907,8.44
111,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,24,Jan 2015 - Jun 2015,1094719,8.44
112,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,12,Jan 2021 - Mar 2021,866476,8.44
113,Kage no Jitsuryokusha ni Naritakute! 2nd Season,12,Oct 2023 - Dec 2023,306613,8.43
114,Grand Blue,12,Jul 2018 - Sep 2018,765144,8.43
115,Kono Oto Tomare! Part 2,13,Oct 2019 - Dec 2019,173742,8.42
116,Koukaku Kidoutai: Stand Alone Complex,26,Oct 2002 - Oct 2003,393669,8.42
117,Mononoke,12,Jul 2007 - Sep 2007,322527,8.42
118,Saiki Kusuo no Ψ-nan 2,24,Jan 2018 - Jun 2018,630952,8.42
119,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,12,Jan 2019 - Mar 2019,1706928,8.41
120,Karakai Jouzu no Takagi-san 3,12,Jan 2022 - Mar 2022,181997,8.41
121,Saiki Kusuo no Ψ-nan,120,Jul 2016 - Dec 2016,1083421,8.41
122,Hunter x Hunter,62,Oct 1999 - Mar 2001,583507,8.41
123,Major S5,25,Jan 2009 - Jun 2009,70414,8.4
124,Vivy: Fluorite Eye's Song,13,Apr 2021 - Jun 2021,526769,8.4
125,Houseki no Kuni,12,Oct 2017 - Dec 2017,453349,8.39
126,Kaze ga Tsuyoku Fuiteiru,23,Oct 2018 - Mar 2019,296756,8.39
127,Kimetsu no Yaiba: Mugen Ressha-hen,7,Oct 2021 - Nov 2021,717728,8.38
128,Tensei shitara Slime Datta Ken 2nd Season,12,Jan 2021 - Mar 2021,929098,8.38
129,3-gatsu no Lion,22,Oct 2016 - Mar 2017,671147,8.38
130,Chihayafuru 2,25,Jan 2013 - Jun 2013,233465,8.38
131,Cross Game,50,Apr 2009 - Mar 2010,123528,8.38
132,Barakamon,12,Jul 2014 - Sep 2014,656483,8.37
133,Mushoku Tensei: Isekai Ittara Honki Dasu,11,Jan 2021 - Mar 2021,1273589,8.37
134,Non Non Biyori Nonstop,12,Jan 2021 - Mar 2021,122106,8.37
135,Mahou Shoujo Madoka★Magica,12,Jan 2011 - Apr 2011,1271836,8.36
136,Baccano!,13,Jul 2007 - Nov 2007,898457,8.36
137,Haikyuu!! To the Top,13,Jan 2020 - Apr 2020,917599,8.36
138,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,12,Jul 2020 - Sep 2020,715926,8.36
139,Usagi Drop,11,Jul 2011 - Sep 2011,491421,8.35
140,Shinseiki Evangelion,26,Oct 1995 - Mar 1996,1788970,8.35
141,Dr. Stone: New World Part 2,11,Oct 2023 - Dec 2023,231569,8.35
142,Fumetsu no Anata e,20,Apr 2021 - Aug 2021,852933,8.35
143,Bakuman. 2nd Season,25,Oct 2011 - Mar 2012,350895,8.34
144,IDOLiSH7 Third Beat! Part 2,17,Oct 2022 - Feb 2023,13321,8.34
145,Initial D First Stage,26,Apr 1998 - Dec 1998,375729,8.34
146,Psycho-Pass,22,Oct 2012 - Mar 2013,1614866,8.34
147,Kiseijuu: Sei no Kakuritsu,24,Oct 2014 - Mar 2015,1842291,8.33
148,One Outs,25,Oct 2008 - Apr 2009,235854,8.33
149,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,13,Jul 2020 - Sep 2020,1087054,8.33
150,Romeo no Aoi Sora,33,Jan 1995 - Dec 1995,49499,8.33
151,Bakemonogatari,15,Jul 2009 - Jun 2010,1386557,8.33
152,Tensei shitara Slime Datta Ken 2nd Season Part 2,12,Jul 2021 - Sep 2021,734259,8.33
153,Versailles no Bara,40,Oct 1979 - Sep 1980,96341,8.33
154,Kingdom 2nd Season,39,Jun 2013 - Mar 2014,123572,8.32
155,Major S6,25,Apr 2010 - Sep 2010,62344,8.32
156,Fate/stay night: Unlimited Blade Works 2nd Season,13,Apr 2015 - Jun 2015,844554,8.32
157,Given,11,Jul 2019 - Sep 2019,560631,8.32
158,Boku no Hero Academia 6th Season,25,Oct 2022 - Mar 2023,612512,8.31
159,Hibike! Euphonium 2,13,Oct 2016 - Dec 2016,224646,8.31
160,Katanagatari,12,Jan 2010 - Dec 2010,557376,8.31
161,Kemono no Souja Erin,50,Jan 2009 - Dec 2009,85617,8.31
162,Natsume Yuujinchou,13,Jul 2008 - Sep 2008,534219,8.31
163,NHK ni Youkoso!,24,Jul 2006 - Dec 2006,733819,8.31
164,Ookami to Koushinryou II,12,Jul 2009 - Sep 2009,487106,8.31
165,Kage no Jitsuryokusha ni Naritakute!,20,Oct 2022 - Feb 2023,600643,8.3
166,Kuroko no Basket 3rd Season,25,Jan 2015 - Jun 2015,753033,8.3
167,Sakamichi no Apollon,12,Apr 2012 - Jun 2012,381948,8.3
168,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,11,Apr 2011 - Jun 2011,1591065,8.3
169,Ashita no Joe,79,Apr 1970 - Sep 1971,90418,8.3
170,Boku dake ga Inai Machi,12,Jan 2016 - Mar 2016,2063279,8.3
171,Diamond no Ace: Second Season,51,Apr 2015 - Mar 2016,136089,8.3
172,86,11,Apr 2021 - Jun 2021,748328,8.29
173,Beck,26,Oct 2004 - Mar 2005,337639,8.29
174,Blue Lock,24,Oct 2022 - Mar 2023,640144,8.29
175,Initial D Final Stage,4,May 2014 - Jun 2014,140991,8.29
176,Mushoku Tensei II: Isekai Ittara Honki Dasu,12,Jul 2023 - Sep 2023,493221,8.29
177,Rurouni Kenshin: Meiji Kenkaku Romantan,94,Jan 1996 - Sep 1998,491185,8.29
178,Yubisaki to Renren,12,Jan 2024 -,115373,8.28
179,Yuukoku no Moriarty Part 2,13,Apr 2021 - Jun 2021,245620,8.28
180,Dr. Stone,24,Jul 2019 - Dec 2019,1707885,8.28
181,Kino no Tabi: The Beautiful World,13,Apr 2003 - Jul 2003,311844,8.28
182,Shirobako,24,Oct 2014 - Mar 2015,441726,8.28
183,Kimetsu no Yaiba: Katanakaji no Sato-hen,11,Apr 2023 - Jun 2023,760342,8.27
184,Kobayashi-san Chi no Maid Dragon S,12,Jul 2021 - Sep 2021,544433,8.27
185,Shinsekai yori,25,Sep 2012 - Mar 2013,771835,8.27
186,Spy x Family Part 2,13,Oct 2022 - Dec 2022,873806,8.27
187,Yuru Camp△,12,Jan 2018 - Mar 2018,479651,8.27
188,Fate/Zero,13,Oct 2011 - Dec 2011,1486235,8.27
189,Gin no Saji 2nd Season,11,Jan 2014 - Mar 2014,144520,8.27
190,Gyakkyou Burai Kaiji: Ultimate Survivor,26,Oct 2007 - Apr 2008,350262,8.27
191,BanG Dream! It's MyGO!!!!!,13,Jun 2023 - Sep 2023,15789,8.26
192,Diamond no Ace: Act II,52,Apr 2019 - Mar 2020,88531,8.26
193,Kono Subarashii Sekai ni Shukufuku wo! 2,10,Jan 2017 - Mar 2017,1487933,8.26
194,Naruto: Shippuuden,500,Feb 2007 - Mar 2017,2443151,8.26
195,Nodame Cantabile,23,Jan 2007 - Jun 2007,312699,8.26
196,Planetes,26,Oct 2003 - Apr 2004,251138,8.26
197,Space☆Dandy 2nd Season,13,Jul 2014 - Sep 2014,166295,8.26
198,World Trigger 3rd Season,14,Oct 2021 - Jan 2022,112849,8.26
199,Dororo,24,Jan 2019 - Jun 2019,1201434,8.25
